Date,close,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,daily_return,cumulative_return,volatility_10,volatility_20,momentum_3,momentum_7,momentum_14,lag_1,lag_2,lag_3,lag_4,lag_5,daily_return_scaled,rsi_scaled,macd_hist_scaled,volatility_20_scaled,momentum_3_scaled,momentum_7_scaled,momentum_14_scaled,is_anomaly_iso,zscore_return,is_anomaly_return,is_anomaly_rsi,is_anomaly_volatility,is_anomaly,is_anomaly_combined
2020-01-02,153.04229736328125,,153.04229736328125,,153.04229736328125,,153.04229736328125,,153.04229736328125,,153.04229736328125,,0.0,0.0,0.0,,,,,,,,,,,,,,,,-0.05141831182115979,-3.246504277615701,-0.007014996830074151,-2.4051746488138175,-0.09826110480206246,-0.15750875984854668,-0.22661072049177367,False,-0.05141831182115979,False,False,False,False,False
2020-01-03,151.13668823242188,,152.69582297585225,,152.86081077938988,,152.96756759344362,,153.0045625290068,,153.02333607839708,,-0.15201440360129936,-0.030402880720259873,-0.12161152288103949,,,,-0.012451519375300313,0.9875484806246997,,,,,,153.04229736328125,,,,,-0.7000635673596107,-3.246504277615701,-0.0897614709847183,-2.4051746488138175,-0.09826110480206246,-0.15750875984854668,-0.22661072049177367,False,-0.7000635673596107,False,False,False,False,False
2020-01-06,151.5272979736328,,152.4833638845396,,152.73380955979397,,152.9110864318824,,152.97530976553404,,153.0084501271059,,-0.2382218982510267,-0.07196668422641324,-0.16625521402461346,,,,0.0025844799550605035,0.9901007798775247,,,,,,151.13668823242188,153.04229736328125,,,,0.08321671627104779,-3.246504277615701,-0.12013777043286548,-2.4051746488138175,-0.09826110480206246,-0.15750875984854668,-0.22661072049177367,False,0.08321671627104779,False,False,False,False,False
2020-01-07,150.1457061767578,,152.05833521039747,,152.48732352331433,,152.80264014736773,,152.91927801130083,,152.9799651126746,,-0.4132610542287125,-0.1402255582268731,-0.2730354960018394,,,,-0.009117774918123378,0.981073263820343,,,-0.01892673617965701,,,151.5272979736328,151.13668823242188,153.04229736328125,,,-0.5263966067142338,-3.246504277615701,-0.19279282509818058,-2.4051746488138175,-0.7435918961546197,-0.15750875984854668,-0.22661072049177367,False,-0.5263966067142338,False,False,False,False,False
2020-01-08,152.53732299804688,,152.145423899061,,152.49208537805077,,152.79223555327673,,152.91171454569184,,152.97556071352406,,-0.35490621856163784,-0.18316169029382606,-0.17174452826781178,,,,0.015928639467541972,0.996700426130982,,,0.009267337944252718,,,150.1457061767578,151.5272979736328,151.13668823242188,153.04229736328125,,0.7783628663938421,-3.246504277615701,-0.12387278984871351,-2.4051746488138175,0.2177203973717881,-0.15750875984854668,-0.22661072049177367,False,0.7783628663938421,False,False,False,False,False
2020-01-09,154.44290161132812,,152.5631471194732,,152.67787740026768,,152.85696755555327,,152.94203508164503,,152.9901611204674,,-0.15313013350586857,-0.17715537893623456,0.024025245430365993,,,,0.01249254002776512,1.0091517461001138,,,0.019241441487346078,,,152.53732299804688,150.1457061767578,151.5272979736328,151.13668823242188,153.04229736328125,0.5993638597673252,-3.246504277615701,0.009332174087334964,-2.4051746488138175,0.5577999584434439,-0.15750875984854668,-0.22661072049177367,False,0.5993638597673252,False,False,False,False,False
2020-01-10,153.72833251953125,,152.77499901039283,,152.77792074495943,,152.89113873061123,,152.9576053279398,,152.9975061095128,,-0.05030104702711924,-0.1517845125544115,0.10148346552729226,,,,-0.004626752569018455,1.0044826506663156,,,0.023860997653544658,,,154.44290161132812,152.53732299804688,150.1457061767578,151.5272979736328,151.13668823242188,-0.29244280144267454,-3.246504277615701,0.06203601707419339,-2.4051746488138175,0.7153095157243622,-0.15750875984854668,-0.22661072049177367,False,-0.29244280144267454,False,False,False,False,False
2020-01-13,155.57681274414062,,153.28441968925605,,153.04448188773858,,152.99645928016142,,153.00947082132993,,153.02317085214594,,0.17829339530572952,-0.08576893098238329,0.2640623262881128,,,,0.012024330156410912,1.0165608816943141,,,0.019926203543854326,0.016560881694314356,,153.72833251953125,154.44290161132812,152.53732299804688,150.1457061767578,151.5272979736328,0.5749730924644513,-3.246504277615701,0.17265733963748614,-2.4051746488138175,0.5811477789878882,0.23133200417821062,-0.22661072049177367,False,0.5749730924644513,False,False,False,False,False
2020-01-14,154.48106384277344,,153.50199135353193,,153.1812992167895,,153.05467906693053,,153.0386112772001,,153.03767725006264,,0.2679496027759001,-0.015025224230726619,0.2829748270066267,,,,-0.007043137611831951,1.0094011035137358,,,0.0002470960532803268,0.022128152002434343,,155.57681274414062,153.72833251953125,154.44290161132812,152.53732299804688,150.1457061767578,-0.4183211498058636,-3.246504277615701,0.185525715222545,-2.4051746488138175,-0.08983605517438932,0.36204857350773273,-0.22661072049177367,False,-0.4183211498058636,False,False,False,False,False
2020-01-15,155.48153686523438,153.20999603271486,153.861908719296,,153.40036946902237,,153.14984996098167,,153.0869860413196,,153.06199426115887,,0.4149493271978315,0.07096968605498502,0.3439796411428465,,,,0.006476347311274333,1.0159383356364744,1.860902514785366,,0.011404562301359666,0.0260958846655448,,154.48106384277344,155.57681274414062,153.72833251953125,154.44290161132812,152.53732299804688,0.28595834319255664,-3.246504277615701,0.22703439101776118,-2.4051746488138175,0.2905917404590452,0.4552088429097819,-0.22661072049177367,False,0.28595834319255664,False,False,False,False,False
