Date,close,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,daily_return,cumulative_return,volatility_10,volatility_20,lag_1,lag_2,lag_3,lag_4,lag_5,zscore_return,is_anomaly_return,is_anomaly_rsi,is_anomaly_volatility,is_anomaly,ticker
2020-01-02,72.62084197998047,,72.62084197998047,,72.62084197998047,,72.62084197998047,,72.62084197998047,,72.62084197998047,,0.0,0.0,0.0,,,,,,,,,,,,,-0.05923678729248933,False,False,False,False,AAPL
2020-01-03,71.91481018066406,,72.49247256192294,,72.55360085623605,,72.59315445843865,,72.60686115227124,,72.61381678794747,,-0.05632162501669313,-0.011264325003338627,-0.045057300013354507,,,,-0.009722164878108175,0.9902778351218918,,,72.62084197998047,,,,,-0.5468122733912112,False,False,False,False,AAPL
2020-01-06,72.48784637451172,,72.49163143693907,,72.54733852464325,,72.5890247296572,,72.60450442399878,,72.61256335099786,,-0.05409412345483133,-0.01983028469363717,-0.03426383876119417,,,,0.007968264011377846,0.9981686303567587,,,71.91481018066406,72.62084197998047,,,,0.3403789616091594,False,False,False,False,AAPL
2020-01-07,72.14694213867188,,72.42896065543594,,72.50920553550311,,72.5716881574617,,72.59544378468537,,72.60793030410905,,-0.07892711257215979,-0.031649650269341696,-0.04727746230281809,,,,-0.004702915769887128,0.9934743273640473,,,72.48784637451172,71.91481018066406,72.62084197998047,,,-0.2950923268079083,False,False,False,False,AAPL
2020-01-08,73.30751037597656,,72.5886969682615,,72.58523456792916,,72.60054393073679,,72.6095441132258,,72.61489129984902,,-0.004902761895380081,-0.026300272594549375,0.021397510699169293,,,,0.01608617361875142,1.0094555278797976,,,72.14694213867188,72.48784637451172,71.91481018066406,72.62084197998047,,0.7474995744094287,False,False,False,False,AAPL
2020-01-09,74.86460876464844,,73.00249911305912,,72.80231782475957,,72.68933078696863,,72.65419885879852,,72.63727654825499,,0.1773623730519347,0.014432256534747438,0.16293011651718725,,,,0.0212406393381237,1.0308970086753677,,,73.30751037597656,72.14694213867188,72.48784637451172,71.91481018066406,72.62084197998047,1.0060007580667023,False,False,False,False,AAPL
2020-01-10,75.03385162353516,,73.37183593314566,,73.01484485321438,,72.78127278055948,,72.701320695724,,72.66112306641698,,0.33164232367055035,0.07787426996190802,0.2537680537086423,,,,0.0022606524188053534,1.033227508491569,,,74.86460876464844,73.30751037597656,72.14694213867188,72.48784637451172,71.91481018066406,0.05413700504888835,False,False,False,False,AAPL
2020-01-13,76.63693237304688,,73.96548983130951,,73.35980556938891,,72.93247511751977,,72.77925360022543,,72.70068335802524,,0.5766186145872609,0.17762313888697862,0.3989954757002823,,,,0.02136476689954292,1.0553021733646868,,,75.03385162353516,74.86460876464844,73.30751037597656,72.14694213867188,72.48784637451172,1.0122258691254031,False,False,False,False,AAPL
2020-01-14,75.60208129882812,,74.26305191631289,,73.57335563885931,,73.03716555600245,,72.83515117841559,,72.72955298927702,,0.6794282312984166,0.27798415736926624,0.4014440739291503,,,,-0.01350329458884636,1.0410521172374936,,,76.63693237304688,75.03385162353516,74.86460876464844,73.30751037597656,72.14694213867188,-0.7364393965504547,False,False,False,False,AAPL
2020-01-15,75.278076171875,73.98935012817383,74.44760178096054,,73.735709975337,,73.12504440368373,,72.88352593076132,,72.75491142890486,,0.7263877415995239,0.3676648742153178,0.3587228673842061,,,,-0.004285664116473797,1.0365905175352699,1.6805715349785026,,75.60208129882812,76.63693237304688,75.03385162353516,74.86460876464844,73.30751037597656,-0.2741667736734826,False,False,False,False,AAPL
2020-01-16,76.22103881835938,74.34936981201172,74.77004487866941,,73.97240796038675,,73.24645594935728,,72.94961529487217,,72.78940025865069,,0.830123549200593,0.46015660921237284,0.3699669399882201,,,,0.012526391406860737,1.049575256086557,1.7394240518166142,,75.278076171875,75.60208129882812,76.63693237304688,75.03385162353516,74.86460876464844,0.5689732313439607,False,False,False,False,AAPL
2020-01-17,77.06490325927734,74.86437911987305,75.18729185696176,,74.26693132218585,,73.39619898111886,,73.03110614565247,,72.83194257706488,,0.9692547664062658,0.5619762406511515,0.40727852575511436,,,,0.011071279714895521,1.0611953973285244,1.7004920765320914,,76.22103881835938,75.278076171875,75.60208129882812,76.63693237304688,75.03385162353516,0.49599804531976216,False,False,False,False,AAPL
2020-01-21,76.5426254272461,75.26985702514648,75.433716142468,,74.48366409409635,,73.519588253516,,73.10064118093155,,72.86886479447962,,1.0255518785688338,0.654691368234688,0.3708605103341458,,,,-0.00677711655945501,1.0540035524284719,1.5473827072017456,,77.06490325927734,76.22103881835938,75.278076171875,75.60208129882812,76.63693237304688,-0.39911539892399306,False,False,False,False,AAPL
