Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.62083435058594,94.90049743652344,68.10838317871094,153.0422821044922,28.68400001525879
2020-01-03,71.91482543945312,93.74849700927734,67.7520751953125,151.1366424560547,29.534000396728516
2020-01-06,72.48786163330078,95.14399719238281,69.55794525146484,151.5272979736328,30.1026668548584
2020-01-07,72.14695739746094,95.34300231933594,69.42359161376953,150.145751953125,31.270666122436523
2020-01-08,73.30750274658203,94.59850311279297,69.917724609375,152.53733825683594,32.80933380126953
2020-01-09,74.86463928222656,95.05249786376953,70.65171813964844,154.44296264648438,32.089332580566406
2020-01-10,75.03386688232422,94.15799713134766,71.1080322265625,153.72833251953125,31.876667022705078
2020-01-13,76.63691711425781,94.56500244140625,71.65890502929688,155.57681274414062,34.990665435791016
2020-01-14,75.6020736694336,93.47200012207031,71.18914794921875,154.4810791015625,35.861331939697266
2020-01-15,75.2780990600586,93.10099792480469,71.61760711669922,155.48150634765625,34.56666564941406
2020-01-16,76.2210464477539,93.89700317382812,72.16300201416016,158.33045959472656,34.232666015625
2020-01-17,77.06486511230469,93.23600006103516,73.6240005493164,159.21658325195312,34.03333282470703
2020-01-21,76.54261016845703,94.5999984741211,73.7598648071289,158.64486694335938,36.47999954223633
2020-01-22,76.81584167480469,94.37300109863281,73.84046173095703,157.88265991210938,37.97066879272461
2020-01-23,77.185791015625,94.22899627685547,73.88126373291016,158.85450744628906,38.14666748046875
2020-01-24,76.96334838867188,93.08200073242188,72.95967864990234,157.25376892089844,37.654666900634766
2020-01-27,74.70020294189453,91.41699981689453,71.24588012695312,154.6239471435547,37.201332092285156
2020-01-28,76.81343078613281,92.6624984741211,72.17991638183594,157.6539306640625,37.793331146240234
2020-01-29,78.42131042480469,92.9000015258789,72.48844146728516,160.11219787597656,38.732666015625
2020-01-30,78.30768585205078,93.53399658203125,72.36652374267578,164.6286163330078,42.72066879272461
2020-01-31,74.83561706542969,100.43599700927734,71.29812622070312,162.19891357421875,43.371334075927734
2020-02-03,74.63007354736328,100.20999908447266,73.77726745605469,166.1531219482422,52.0
2020-02-04,77.09391021728516,102.4834976196289,71.92662048339844,171.62232971191406,59.137332916259766
2020-02-05,77.7225341796875,101.99349975585938,71.95846557617188,171.41273498535156,48.97999954223633
2020-02-06,78.63166809082031,102.5114974975586,73.44735717773438,174.96673583984375,49.930667877197266
2020-02-07,77.5628662109375,103.96399688720703,73.60359954833984,175.2144775390625,49.871334075927734
2020-02-10,77.93123626708984,106.69550323486328,75.07408142089844,179.7975616455078,51.41866683959961
2020-02-11,77.46107482910156,107.54000091552734,75.14374542236328,175.73849487304688,51.62533187866211
2020-02-12,79.30059051513672,108.0,75.57020568847656,175.9958038330078,51.15266799926758
2020-02-13,78.73587036132812,107.49349975585938,75.30945587158203,175.04296875,53.599998474121094
2020-02-14,78.75527954101562,106.74349975585938,75.57518005371094,176.6055450439453,53.33533477783203
2020-02-18,77.31320190429688,107.78350067138672,75.61051177978516,178.39691162109375,57.22666549682617
2020-02-19,78.43294525146484,108.51100158691406,75.8807144165039,178.93194580078125,61.16133117675781
2020-02-20,77.62830352783203,107.65499877929688,75.48859405517578,176.1994171142578,59.96066665649414
2020-02-21,75.87114715576172,104.79850006103516,73.820068359375,170.62930297851562,60.06666564941406
2020-02-24,72.26726531982422,100.4645004272461,70.65519714355469,163.27255249023438,55.58599853515625
2020-02-25,69.81940460205078,98.63700103759766,68.9861831665039,160.57821655273438,53.32733154296875
2020-02-26,70.92701721191406,98.97949981689453,69.19269561767578,162.5845947265625,51.91999816894531
2020-02-27,66.29064178466797,94.21499633789062,65.43465423583984,151.1290740966797,45.266666412353516
2020-02-28,66.25186157226562,94.1875,66.64388275146484,154.78834533691406,44.53266525268555
2020-03-02,72.41995239257812,97.69750213623047,68.9861831665039,165.08782958984375,49.574668884277344
2020-03-03,70.11994934082031,95.44950103759766,66.56774139404297,157.1769256591797,49.70066833496094
2020-03-04,73.37242889404297,98.79149627685547,68.75131225585938,162.9476776123047,49.96666717529297
2020-03-05,70.99246978759766,96.20149993896484,65.42520904541016,158.85850524902344,48.30266571044922
2020-03-06,70.0496597290039,95.05449676513672,64.4787368774414,154.36795043945312,46.89866638183594
2020-03-09,64.50928497314453,90.03050231933594,60.50025177001953,143.9060516357422,40.53333282470703
2020-03-10,69.15534973144531,94.59100341796875,63.45512390136719,153.74691772460938,43.02199935913086
2020-03-11,66.75354766845703,91.04299926757812,60.25691223144531,146.78189086914062,42.28200149536133
2020-03-12,60.16132354736328,83.83049774169922,55.31304931640625,132.861328125,37.369998931884766
2020-03-13,67.369140625,89.25,60.42461395263672,151.75010681152344,36.44133377075195
2020-03-16,58.70231246948242,84.4574966430664,53.39472579956055,129.3835906982422,29.67133331298828
2020-03-17,61.28345489501953,90.39199829101562,55.63700485229492,140.03660583496094,28.68000030517578
2020-03-18,59.78324508666992,91.5,54.299896240234375,134.1416015625,24.08133316040039
2020-03-19,59.32517623901367,94.04650115966797,55.31902313232422,136.3486785888672,28.50933265686035
2020-03-20,55.55888366699219,92.30449676513672,53.15636444091797,131.22763061523438,28.50200080871582
2020-03-23,54.378578186035156,95.1415023803711,52.455711364746094,129.91864013671875,28.952667236328125
2020-03-24,59.83413314819336,97.00499725341797,56.231658935546875,141.72767639160156,33.66666793823242
2020-03-25,59.504520416259766,94.29199981689453,54.81891632080078,140.3710174560547,35.95000076293945
2020-03-26,62.63582992553711,97.77449798583984,57.86933135986328,149.15133666992188,35.21066665649414
