Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.62083435058594,94.90049743652344,68.10836791992188,153.0422821044922,28.68400001525879
2020-01-03,71.91480255126953,93.74849700927734,67.75208282470703,151.13665771484375,29.534000396728516
2020-01-06,72.48786163330078,95.14399719238281,69.55794525146484,151.52731323242188,30.1026668548584
2020-01-07,72.14693450927734,95.34300231933594,69.42359161376953,150.1457061767578,31.270666122436523
2020-01-08,73.30751037597656,94.59850311279297,69.917724609375,152.53732299804688,32.80933380126953
2020-01-09,74.8646469116211,95.05249786376953,70.65171813964844,154.44290161132812,32.089332580566406
2020-01-10,75.03385925292969,94.15799713134766,71.1080322265625,153.7283172607422,31.876667022705078
2020-01-13,76.63691711425781,94.56500244140625,71.65890502929688,155.57681274414062,34.990665435791016
2020-01-14,75.60208129882812,93.47200012207031,71.18915557861328,154.48104858398438,35.861331939697266
2020-01-15,75.27806854248047,93.10099792480469,71.61759948730469,155.48150634765625,34.56666564941406
2020-01-16,76.22105407714844,93.89700317382812,72.16300201416016,158.33047485351562,34.232666015625
2020-01-17,77.06490325927734,93.23600006103516,73.62401580810547,159.2165985107422,34.03333282470703
2020-01-21,76.54263305664062,94.5999984741211,73.75985717773438,158.64491271972656,36.47999954223633
2020-01-22,76.81584930419922,94.37300109863281,73.84046936035156,157.88262939453125,37.97066879272461
2020-01-23,77.18579864501953,94.22899627685547,73.88127899169922,158.8545379638672,38.14666748046875
2020-01-24,76.96333312988281,93.08200073242188,72.9596939086914,157.25381469726562,37.654666900634766
2020-01-27,74.7002182006836,91.41699981689453,71.2458724975586,154.6239471435547,37.201332092285156
2020-01-28,76.81342315673828,92.6624984741211,72.17991638183594,157.6539764404297,37.793331146240234
2020-01-29,78.42132568359375,92.9000015258789,72.48843383789062,160.1122283935547,38.732666015625
2020-01-30,78.30767822265625,93.53399658203125,72.36652374267578,164.62860107421875,42.72066879272461
2020-01-31,74.83560180664062,100.43599700927734,71.29812622070312,162.1989288330078,43.371334075927734
2020-02-03,74.6301040649414,100.20999908447266,73.77727508544922,166.15313720703125,52.0
2020-02-04,77.09391784667969,102.4834976196289,71.92662048339844,171.62234497070312,59.137332916259766
2020-02-05,77.72254180908203,101.99349975585938,71.95846557617188,171.41265869140625,48.97999954223633
2020-02-06,78.63166046142578,102.5114974975586,73.44734954833984,174.9667510986328,49.930667877197266
2020-02-07,77.56285095214844,103.96399688720703,73.60360717773438,175.2144775390625,49.871334075927734
2020-02-10,77.93123626708984,106.69550323486328,75.07408142089844,179.7975616455078,51.41866683959961
2020-02-11,77.4610595703125,107.54000091552734,75.14373779296875,175.73854064941406,51.62533187866211
2020-02-12,79.30058288574219,108.0,75.57020568847656,175.99581909179688,51.15266799926758
2020-02-13,78.73588562011719,107.49349975585938,75.30945587158203,175.04296875,53.599998474121094
2020-02-14,78.75529479980469,106.74349975585938,75.5751724243164,176.60562133789062,53.33533477783203
2020-02-18,77.31322479248047,107.78350067138672,75.61051177978516,178.39688110351562,57.22666549682617
2020-02-19,78.43292236328125,108.51100158691406,75.8807144165039,178.9319305419922,61.16133117675781
2020-02-20,77.6282958984375,107.65499877929688,75.48858642578125,176.19944763183594,59.96066665649414
2020-02-21,75.87117767333984,104.79850006103516,73.82006072998047,170.62930297851562,60.06666564941406
2020-02-24,72.26725769042969,100.4645004272461,70.65519714355469,163.27252197265625,55.58599853515625
2020-02-25,69.81941223144531,98.63700103759766,68.98617553710938,160.57823181152344,53.32733154296875
2020-02-26,70.92699432373047,98.97949981689453,69.19268798828125,162.58462524414062,51.91999816894531
2020-02-27,66.29063415527344,94.21499633789062,65.43466186523438,151.1290740966797,45.266666412353516
2020-02-28,66.2518539428711,94.1875,66.64388275146484,154.78831481933594,44.53266525268555
2020-03-02,72.4199447631836,97.69750213623047,68.98617553710938,165.08786010742188,49.574668884277344
2020-03-03,70.11994934082031,95.44950103759766,66.56774139404297,157.17694091796875,49.70066833496094
2020-03-04,73.3724365234375,98.79149627685547,68.75130462646484,162.94769287109375,49.96666717529297
2020-03-05,70.99244689941406,96.20149993896484,65.42520904541016,158.85845947265625,48.30266571044922
2020-03-06,70.04965209960938,95.05449676513672,64.47872924804688,154.3679656982422,46.89866638183594
2020-03-09,64.50929260253906,90.03050231933594,60.50025177001953,143.90603637695312,40.53333282470703
2020-03-10,69.15533447265625,94.59100341796875,63.45512390136719,153.74696350097656,43.02199935913086
2020-03-11,66.75357055664062,91.04299926757812,60.25691223144531,146.7819061279297,42.28200149536133
2020-03-12,60.16131591796875,83.83049774169922,55.31304931640625,132.8613739013672,37.369998931884766
2020-03-13,67.369140625,89.25,60.42461395263672,151.75009155273438,36.44133377075195
2020-03-16,58.70231628417969,84.4574966430664,53.39472579956055,129.38363647460938,29.67133331298828
2020-03-17,61.2834587097168,90.39199829101562,55.637001037597656,140.03660583496094,28.68000030517578
2020-03-18,59.78324508666992,91.5,54.29990005493164,134.14163208007812,24.08133316040039
2020-03-19,59.3251838684082,94.04650115966797,55.31902313232422,136.34866333007812,28.50933265686035
2020-03-20,55.55888748168945,92.30449676513672,53.1563606262207,131.2276153564453,28.50200080871582
2020-03-23,54.37857437133789,95.1415023803711,52.455711364746094,129.91864013671875,28.952667236328125
2020-03-24,59.83413314819336,97.00499725341797,56.231658935546875,141.72769165039062,33.66666793823242
2020-03-25,59.504520416259766,94.29199981689453,54.818912506103516,140.37098693847656,35.95000076293945
2020-03-26,62.63581466674805,97.77449798583984,57.86933135986328,149.15135192871094,35.21066665649414
