Date,close,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,daily_return,cumulative_return,volatility_10,volatility_20,lag_1,lag_2,lag_3,lag_4,lag_5,zscore_return,is_anomaly_return,is_anomaly_rsi,is_anomaly_volatility,is_anomaly,ticker,target_1d,target_5d,momentum_3,momentum_7,momentum_14
2020-01-23,73.88127136230469,72.34940338134766,72.41357675793121,,71.13588336033065,,69.65822168432096,,68.95661070069306,,68.5528270669765,87.51694463974233,1.4350719872220452,1.0260855833078872,0.4089864039141579,,,,0.0005526730249378,1.084760439027182,1.2910050662179544,,73.84046173095703,73.7598648071289,73.62400817871094,72.16300201416016,71.61759948730469,-0.0229157218314657,False,False,False,False,GOOGL,-0.012473866055829896,-0.020502560677323256,0.0034942838614449023,0.03101301179656879,0.08476043902718255
2020-01-24,72.95968627929688,72.5802001953125,72.5128693981795,,71.30957887642268,,69.78769088412395,,69.03587952403176,,68.59667641237273,81.52687607849802,1.397868841822472,1.1004422350108043,0.2974266068116677,,,,-0.0124738660558298,1.0712292826080938,1.1526725019751345,,73.88127136230469,73.84046173095703,73.7598648071289,73.62400817871094,72.16300201416016,-0.65972022072525,False,False,False,False,GOOGL,-0.023489768661876242,-0.02277367328901514,-0.01084842725680668,0.024870792275776044,0.07686275393000308
2020-01-27,71.24588012695312,72.5939842224121,72.28250771250198,,71.30351232885415,,69.8448747759996,,69.07964191220842,,68.62303664833871,60.333950826609566,1.2160770679825958,1.1235692016051626,0.0925078663774332,,,,-0.0234897686618762,1.046066354575802,1.133781237830643,,72.95968627929688,73.88127136230469,73.84046173095703,73.7598648071289,73.62400817871094,-1.198234425873024,False,False,False,False,GOOGL,0.013109931743757519,0.035530404761445755,-0.0351376676578411,-0.005190335378630673,0.024266600593017662
2020-01-28,72.1799087524414,72.64608383178711,72.26385335612733,,71.38697865491008,,69.93644473586006,,69.14103333478728,,68.65842841056859,65.369888842753,1.1342985934406329,1.1257150799722568,0.008583513468376,,,,0.0131099317437575,1.059780213083732,1.097426030404944,,71.24588012695312,72.95968627929688,73.88127136230469,73.84046173095703,73.7598648071289,0.5909479296217047,False,False,False,False,GOOGL,0.0042744957728049204,-0.0035091242621499985,-0.023028334224515556,0.00023428540677850052,0.03970288881056949
2020-01-29,72.48844146728516,72.7760124206543,72.30468755815602,,71.49187987513628,,70.03652303905321,,69.2073186443417,,68.69653799322249,64.63789723913587,1.0819129556709015,1.1169546551119858,-0.0350416994410842,,,,0.0042744957728049,1.0643102391246606,0.9759605996164108,,72.1799087524414,71.24588012695312,72.95968627929688,73.88127136230469,73.84046173095703,0.1590261934563868,False,False,False,False,GOOGL,-0.001681997178252681,-0.00731107264815356,-0.006458975306003145,-0.01542386430075049,0.036767628843233036
2020-01-30,72.36651611328125,72.85090408325195,72.31592911363333,71.47470932006836,71.57517856448342,,70.12789531647391,,69.26987701006327,,68.73305518844695,60.49583457860132,1.0188143456382193,1.0973265932172325,-0.0785122475790132,71.47470932006836,75.10859647826635,67.84082216187036,-0.0016819971782526,1.0625200723056676,0.9032146858346652,1.8169435790989992,72.48844146728516,72.1799087524414,71.24588012695312,72.95968627929688,73.88127136230469,-0.1321579411279641,False,False,False,False,GOOGL,-0.014763594407469993,0.014935651493312108,0.015729133871758894,-0.01889033687210595,0.024271143275573115
2020-01-31,71.29812622070312,72.76441650390625,72.13087404219146,71.63419685363769,71.54879262698054,,70.1737867244829,,69.31004036076901,,68.75857828329528,51.08237144259717,0.8725400090748963,1.052369276388765,-0.179829267313869,71.63419685363769,74.9081659076196,68.36022779965577,-0.0147635944074699,1.046833456908351,1.011340130625195,1.636984526990957,72.36651611328125,72.48844146728516,72.1799087524414,71.24588012695312,72.95968627929688,-0.7716539666364566,False,False,False,False,GOOGL,0.034771585119528936,0.03233567906820056,-0.012216453954833506,-0.034430113932887974,0.0026732049586959405
2020-02-03,73.77727508544922,72.77974319458008,72.43021968642014,71.93545684814453,71.76102905159661,,70.3150999935404,,69.39850045432703,,68.80851556490876,59.89030325827392,0.945760993752046,1.0310476198614216,-0.0852866261093756,71.93545684814453,74.78691677125944,69.08399692502961,0.0347715851195289,1.0832335155612105,1.0268568721350324,1.42572996155746,71.29812622070312,72.36651611328125,72.48844146728516,72.1799087524414,71.24588012695312,1.6498814067057757,False,False,False,False,GOOGL,-0.025084344737689834,0.01757731407058949,0.01777985002954896,-0.0014076135255642885,0.02956174393613109
2020-02-04,71.92662048339844,72.59641876220704,72.33865619496164,72.05389060974122,71.77679966414917,,70.37829687549562,,69.44856223708092,,68.83954148449573,53.04984902362299,0.8447193924807834,0.993781974385294,-0.1490625819045106,72.05389060974122,74.67720302421374,69.4305781952687,-0.0250843447376898,1.0560613126254534,0.9956023767079166,1.311656207236262,73.77727508544922,71.29812622070312,72.36651611328125,72.48844146728516,72.1799087524414,-1.276185538797996,False,False,False,False,GOOGL,0.0004428502542437318,0.044727769606704326,-0.0060787178036069145,-0.01415940567430296,0.010359230964199106
2020-02-05,71.9584732055664,72.40821990966796,72.26953201507159,72.18063468933106,71.7941019061889,,70.44026457471409,,69.49826344437766,,68.87057563097405,51.45752308177122,0.7584702708317224,0.9467196336745798,-0.1882493628428574,72.18063468933106,74.49569970159246,69.86556967706966,0.0004428502542437,1.0565289896462466,0.9083660774972124,1.157532506130702,71.92662048339844,73.77727508544922,71.29812622070312,72.36651611328125,72.48844146728516,-0.0282844259842265,False,False,False,False,GOOGL,0.020690877749929726,0.05019189988359529,0.00926177194081057,0.010001884703277009,0.004759636188617966
