Date,close,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,daily_return,cumulative_return,volatility_10,volatility_20,lag_1,lag_2,lag_3,lag_4,lag_5,zscore_return,is_anomaly_return,is_anomaly_rsi,is_anomaly_volatility,is_anomaly,ticker,target_1d,target_5d,momentum_3,momentum_7,momentum_14
2020-01-23,158.85452270507812,156.6639831542969,156.84726530209747,,155.4398036346315,,154.13493250268766,,153.6101786928121,,153.33136954594565,65.56139665690003,1.4818017072352063,0.872461781302352,0.6093399259328544,,,,0.0061556018470285,1.0379779018084143,2.1186295890260163,,157.88265991210938,158.64492797851562,159.2165985107422,158.33047485351562,155.48153686523438,0.2692495370342339,False,False,False,False,MSFT,-0.010076757640463785,0.036348215151925656,-0.002274108409869302,0.021068113577618952,0.03797790180841454
2020-01-24,157.2537841796875,156.9450714111328,156.92117782529564,,155.6125636865416,,154.2572404115896,,153.6823292965126,,153.3703985472764,66.6494450600292,1.4348317059128988,0.9849357662244612,0.4498959396884374,,,,-0.0100767576404637,1.0275184500557335,1.9726428399820928,,158.85452270507812,157.88265991210938,158.64492797851562,159.2165985107422,158.33047485351562,-0.5763535295796773,False,False,False,False,MSFT,-0.016723036306602213,0.03144661289233319,-0.008768914433977537,0.017948609803309257,0.04047393137170374
2020-01-27,154.6240234375,157.03464050292968,156.50351339115096,,155.51841699615667,,154.27162405966453,,153.700976705245,,153.38287242678112,57.51288815311637,1.1718990051478215,1.022328414009133,0.1495705911386882,,,,-0.0167230363066022,1.010335221709748,1.8251790275752031,,157.2537841796875,158.85452270507812,157.88265991210938,158.64492797851562,159.2165985107422,-0.9225825313454268,False,False,False,False,MSFT,0.01959541873243431,0.0745623401332618,-0.02063960967229339,-0.005515210648307622,0.020436749716252756
2020-01-28,157.65394592285156,157.2423538208008,156.71268294236924,,155.72180070346096,,154.4042641327307,,153.77925332341545,,153.4253706705231,66.86657288350321,1.19424584520155,1.0567119002476166,0.1375339449539334,,,,0.0195954187324343,1.0301331634392774,1.7577869782751032,,154.6240234375,157.2537841796875,158.85452270507812,157.88265991210938,158.64492797851562,0.9693788301160862,False,False,False,False,MSFT,0.015593095205395091,0.08860154883721072,-0.007557712313016718,-0.004272891439819015,0.05000635674026355
2020-01-29,160.1122589111328,157.80547332763672,157.3307876639626,,156.13993958038208,,154.62810706521705,,153.90465937465737,,153.49190687192225,66.9655617868091,1.3942491537652302,1.1242193509511391,0.2700298028140908,,,,0.015593095205395,1.0461961279310208,1.6749438678458357,,157.65394592285156,154.6240234375,157.2537841796875,158.85452270507812,157.88265991210938,0.7608831366432328,False,False,False,False,MSFT,0.02820734773089817,0.07057826573362336,0.018177462287197077,0.005625421022483312,0.04965955717724846
2020-01-30,164.62860107421875,158.72017974853514,158.6576628294637,155.965087890625,156.94838353217605,,155.02028330086418,,154.1170146558368,,153.60271974955702,70.42432965314163,1.895336030706403,1.278442686902192,0.616893343804211,155.965087890625,163.08827009317204,148.84190568807796,0.0282073477308981,1.0757065459062902,2.5393885056681293,3.561591101273527,160.1122589111328,157.65394592285156,154.6240234375,157.2537841796875,158.85452270507812,1.4180057580850962,False,False,False,False,MSFT,-0.014758784328627983,0.06279671149586163,0.06470260839359576,0.03771739299798771,0.06595123088611743
2020-01-31,162.19888305664062,159.10702056884764,159.30152105258676,156.42291717529298,157.4484311059346,,155.301797016777,,154.27705165387252,,153.6882537128116,65.89200015115443,2.072502533680222,1.437254656257798,0.6352478774224237,156.42291717529298,163.92223696069755,148.9235973898884,-0.0147587843286279,1.059830424994366,2.758612663449503,3.7496598927022906,164.62860107421875,160.1122589111328,157.65394592285156,154.6240234375,157.2537841796875,-0.8202574505426454,False,False,False,False,MSFT,0.024379140809489108,0.08024466159780386,0.028828565673916895,0.027338170936149764,0.05510077679423975
2020-02-03,166.1531524658203,159.80067596435546,160.54727221862922,157.1737403869629,158.27745218782846,,155.72734036771988,,154.5122219669804,,153.81228255612513,68.3897009545449,2.503130230660588,1.6504297711383562,0.8527004595222318,157.1737403869629,165.41481325243748,148.9326675214883,0.0243791408094891,1.0856681801594843,3.54829980803811,4.1205364327372935,162.19888305664062,164.62860107421875,160.1122589111328,157.65394592285156,154.6240234375,1.218580436407712,False,False,False,False,MSFT,0.032916481962139255,0.08211947216887339,0.037729113284451055,0.045945369615270515,0.06798146545830952
2020-02-04,171.62232971191406,161.09841613769532,162.56091903559008,158.17849197387696,159.54839290440805,,156.35067328317848,,154.85103598173157,,153.9894969556852,75.87003380650154,3.248278545867379,1.969999526084161,1.278279019783218,158.17849197387696,168.22351164484044,148.13347230291348,0.0329164819621392,1.1214045572285725,5.1086890261690465,5.02250983548174,166.1531524658203,162.19888305664062,164.62860107421875,160.1122589111328,157.65394592285156,1.663321810264838,False,False,False,False,MSFT,-0.0012214333909374986,0.023984300073234488,0.042481856688695085,0.09137169962032976,0.11096030440718962
2020-02-05,171.41270446777344,162.45142059326173,164.1703345687143,159.24184188842773,160.6783273390143,,156.94134117277045,,155.17898981313834,,154.16286220456172,74.6317150863637,3.7783445449057353,2.331668529848476,1.4466760150572595,159.24184188842773,170.17023048981005,148.3134532870454,-0.0012214333909374,1.120034836257624,5.893740343983275,5.464194300691157,171.62232971191406,166.1531524658203,162.19888305664062,164.62860107421875,160.1122589111328,-0.1150472513993662,False,False,False,False,MSFT,0.02073376873146815,0.026737132003578967,0.056805701972160394,0.10857744260586721,0.10246340448993374
2020-02-06,174.96673583984375,164.0626419067383,166.13331661801055,160.3633125305176,162.0391281486171,,157.64821939500862,,155.5708263681226,,154.36986592232572,75.17302683832358,4.434092835429652,2.752153390964711,1.6819394444649411,160.3633125305176,172.88242428620265,147.84420077483253,0.0207337687314681,1.1432573795237777,6.915045410584094,6.259555877842527,171.41270446777344,171.62232971191406,166.1531524658203,162.19888305664062,164.62860107421875,1.0286796514664678,False,False,False,False,MSFT,0.0014159359950882688,0.000435699447614013,0.05304493621230866,0.10981513856598468,0.10507301896062438
